Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AdminEntersAbsence.dataDriven,Chrome 71.0.3578.98,,2019-01-16 16:20:46,2019-01-16 16:22:56,2m - 10.551s,ERROR
,,,,,,
Test Cases/AdminEntersAbsence.dataDriven,Chrome 71.0.3578.98,,2019-01-16 16:20:46,2019-01-16 16:22:54,2m - 8.566s,ERROR
evt = 30,Chrome 71.0.3578.98,,2019-01-16 16:20:46,2019-01-16 16:20:46,0.001s,PASSED
plt = 30,Chrome 71.0.3578.98,,2019-01-16 16:20:46,2019-01-16 16:20:46,0.000s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-16 16:20:46,2019-01-16 16:20:52,5.664s,PASSED
navigateToUrl(url),Chrome 71.0.3578.98,,2019-01-16 16:20:52,2019-01-16 16:20:53,1.200s,PASSED
"setText(findTestObject(""Object Repository/AdminEntersAbsence/Page_Oracle PeopleSoft Sign-in/input_User ID_userid""), userid)",Chrome 71.0.3578.98,,2019-01-16 16:20:53,2019-01-16 16:20:57,4.267s,PASSED
"setText(findTestObject(""Object Repository/AdminEntersAbsence/Page_Oracle PeopleSoft Sign-in/input_Password_pwd""), password)",Chrome 71.0.3578.98,,2019-01-16 16:20:57,2019-01-16 16:21:02,4.151s,PASSED
"click(findTestObject(""Object Repository/AdminEntersAbsence/Page_Oracle PeopleSoft Sign-in/input_Select a Language_Submit""))",Chrome 71.0.3578.98,,2019-01-16 16:21:02,2019-01-16 16:21:05,3.082s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-16 16:21:05,2019-01-16 16:21:07,2.149s,PASSED
waitForPageLoad(plt),Chrome 71.0.3578.98,,2019-01-16 16:21:07,2019-01-16 16:21:08,1.050s,PASSED
"click(findTestObject(""Object Repository/AdminEntersAbsence/Page_My Homepage/a_Sign Out_PT_NAVBAR""))",Chrome 71.0.3578.98,,2019-01-16 16:21:08,2019-01-16 16:21:10,2.408s,PASSED
"click(findTestObject(""Object Repository/AdminEntersAbsence/Page_My Homepage/div_Navigator_grouplet_PTNBPTN""))",Chrome 71.0.3578.98,,2019-01-16 16:21:10,2019-01-16 16:21:16,6.243s,PASSED
"click(findTestObject(""Object Repository/AdminEntersAbsence/Page_My Homepage/a_Global Payroll  Absence Mgmt""))",Chrome 71.0.3578.98,,2019-01-16 16:21:16,2019-01-16 16:21:23,6.187s,PASSED
"click(findTestObject(""Object Repository/AdminEntersAbsence/Page_My Homepage/a_Payee Data""))",Chrome 71.0.3578.98,,2019-01-16 16:21:23,2019-01-16 16:21:29,6.207s,PASSED
"click(findTestObject(""Object Repository/AdminEntersAbsence/Page_My Homepage/a_Maintain Absences""))",Chrome 71.0.3578.98,,2019-01-16 16:21:29,2019-01-16 16:21:35,6.213s,PASSED
"click(findTestObject(""Object Repository/AdminEntersAbsence/Page_My Homepage/a_Absence Event""))",Chrome 71.0.3578.98,,2019-01-16 16:21:35,2019-01-16 16:21:43,7.931s,PASSED
"setText(findTestObject(""Object Repository/AdminEntersAbsence/Page_Absence Event/input_Empl ID_EMPLMT_SRCH_GBL_""), emplID)",Chrome 71.0.3578.98,,2019-01-16 16:21:43,2019-01-16 16:21:51,8.270s,PASSED
"setText(findTestObject(""Object Repository/AdminEntersAbsence/Page_Absence Event/input_Empl Record_EMPLMT_SRCH_""), emplIDRecordNum)",Chrome 71.0.3578.98,,2019-01-16 16:21:51,2019-01-16 16:22:00,8.233s,PASSED
"click(findTestObject(""Object Repository/AdminEntersAbsence/Page_Absence Event/input_Case Sensitive_ICSearch""))",Chrome 71.0.3578.98,,2019-01-16 16:22:00,2019-01-16 16:22:06,6.220s,PASSED
"click(findTestObject(""Object Repository/AdminEntersAbsence/Page_Absence Event/a_firstRecordReturned""))",Chrome 71.0.3578.98,,2019-01-16 16:22:06,2019-01-16 16:22:12,6.188s,PASSED
"click(findTestObject(""Object Repository/AdminEntersAbsence/Page_Absence Event/a_Approved_GP_ABS_EVENTnew00""))",Chrome 71.0.3578.98,,2019-01-16 16:22:12,2019-01-16 16:22:18,6.212s,PASSED
"setText(findTestObject(""Object Repository/AdminEntersAbsence/Page_Absence Event/input_Sick_GP_PIN_NM_VW_PIN_NM""), absenceTake)",Chrome 71.0.3578.98,,2019-01-16 16:22:18,2019-01-16 16:22:27,8.370s,PASSED
"setText(findTestObject(""Object Repository/AdminEntersAbsence/Page_Absence Event/input_Sick_GP_ABS_EVENT_BGN_DT""), beginDate)",Chrome 71.0.3578.98,,2019-01-16 16:22:27,2019-01-16 16:22:35,8.321s,PASSED
"setText(findTestObject(""Object Repository/AdminEntersAbsence/Page_Absence Event/input_Sick_GP_ABS_EVENT_END_DT""), endDate)",Chrome 71.0.3578.98,,2019-01-16 16:22:35,2019-01-16 16:22:43,8.358s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/AdminEntersAbsence/Page_Absence Event/select_NormalVoid""), processAction, false)",Chrome 71.0.3578.98,,2019-01-16 16:22:43,2019-01-16 16:22:54,11.213s,PASSED
"setText(findTestObject(""Object Repository/AdminEntersAbsence/Page_Absence Event/input_Approved_GP_ABS_EVENT_OR""), originalBeginDate)",Chrome 71.0.3578.98,,2019-01-16 16:22:54,2019-01-16 16:22:54,0.030s,ERROR
